Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
111,Morgan Rogers,eng ENG,MF,Aston Villa,21-233,2002,3,0,61,0.7,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.5,2,4,1,0,0,0,0,0,0.49,0.2,0.69,0.49,0.69,Matches,
112,Mads Roerslev,dk DEN,DF,Brentford,24-265,1999,24,16,"1,413",15.7,1,2,3,1,0,0,0,0,0.9,0.9,1.3,2.2,14,28,69,0.06,0.13,0.19,0.06,0.19,0.06,0.09,0.14,0.06,0.14,Matches,
113,Jay Rodriguez,eng ENG,FW,Burnley,34-230,1989,16,7,731,8.1,2,1,3,1,1,1,0,0,3,2.2,0.2,2.4,1,14,23,0.25,0.12,0.37,0.12,0.25,0.37,0.02,0.39,0.27,0.3,Matches,
114,Rodri,es ESP,MF,Manchester City,27-267,1996,25,25,"2,166",24.1,6,5,11,6,0,0,8,1,3.3,3.3,2.6,5.8,61,264,46,0.25,0.21,0.46,0.25,0.46,0.14,0.11,0.24,0.14,0.24,Matches,
115,Jack Robinson,eng ENG,DF,Sheffield Utd,30-196,1993,27,25,"2,322",25.8,1,1,2,1,0,0,7,0,1,1,1,2.1,4,41,9,0.04,0.04,0.08,0.04,0.08,0.04,0.04,0.08,0.04,0.08,Matches,
116,Antonee Robinson,us USA,DF,Fulham,26-220,1997,27,27,"2,378",26.4,0,5,5,0,0,0,4,0,0.5,0.5,3.2,3.7,72,92,135,0,0.19,0.19,0,0.19,0.02,0.12,0.14,0.02,0.14,Matches,
117,Andrew Robertson,sct SCO,DF,Liverpool,30-004,1994,15,11,"1,066",11.8,1,1,2,1,0,0,2,0,0.7,0.7,2.7,3.4,31,69,60,0.08,0.08,0.17,0.08,0.17,0.06,0.23,0.29,0.06,0.29,Matches,
118,Connor Roberts,wls WAL,DF,Burnley,28-174,1995,14,8,823,9.1,0,1,1,0,0,0,5,1,0,0,0.2,0.2,6,38,13,0,0.11,0.11,0,0.11,0,0.02,0.02,0,0.02,Matches,
119,Matt Ritchie,sct SCO,FW,Newcastle Utd,34-187,1989,8,0,109,1.2,1,0,1,1,0,0,1,0,0.8,0.8,0,0.8,2,7,9,0.83,0,0.83,0.83,0.83,0.67,0,0.67,0.67,0.67,Matches,
120,Jaïro Riedewald,nl NED,"MF,FW",Crystal Palace,27-188,1996,4,2,176,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,Matches,
121,Richarlison,br BRA,FW,Tottenham,26-310,1997,22,17,"1,346",15,10,3,13,10,0,0,3,0,8.6,8.6,1.8,10.3,23,33,99,0.67,0.2,0.87,0.67,0.87,0.57,0.12,0.69,0.57,0.69,Matches,
122,Chris Richards,us USA,"DF,MF",Crystal Palace,23-353,2000,19,16,"1,464",16.3,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,0,26,1,0.06,0,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,Matches,
123,Declan Rice,eng ENG,MF,Arsenal,25-061,1999,28,28,"2,391",26.6,6,5,11,6,0,0,3,0,2.2,2.2,3.7,5.9,55,227,39,0.23,0.19,0.41,0.23,0.41,0.08,0.14,0.22,0.08,0.22,Matches,
124,Rodrigo Ribeiro,pt POR,FW,Nott'ham Forest,18-322,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,
125,Gio Reyna,us USA,"MF,FW",Nott'ham Forest,21-123,2002,3,0,41,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0,0,0,0,0,0.14,0.19,0.33,0.14,0.33,Matches,
126,Bobby Reid,jm JAM,FW,Fulham,31-042,1993,24,14,"1,161",12.9,5,2,7,5,0,0,3,0,3.6,3.6,1.7,5.3,30,37,77,0.39,0.16,0.54,0.39,0.54,0.28,0.13,0.4,0.28,0.4,Matches,
127,Sergio Reguilón,es ESP,DF,Manchester Utd,27-090,1996,9,4,412,4.6,0,0,0,0,0,0,3,0,0.2,0.2,0.7,0.9,11,27,38,0,0,0,0,0,0.04,0.16,0.2,0.04,0.2,Matches,
128,Sergio Reguilón,es ESP,DF,Brentford,27-090,1996,7,6,508,5.6,0,1,1,0,0,0,2,0,0.5,0.5,1.1,1.6,9,6,18,0,0.18,0.18,0,0.18,0.1,0.19,0.28,0.1,0.28,Matches,
129,Harrison Reed,eng ENG,MF,Fulham,29-048,1995,22,13,"1,137",12.6,0,1,1,0,0,0,4,0,0.2,0.2,0.9,1.1,9,45,34,0,0.08,0.08,0,0.08,0.02,0.07,0.09,0.02,0.09,Matches,
130,Nathan Redmond,eng ENG,"FW,MF",Burnley,30-009,1994,12,0,142,1.6,0,0,0,0,0,0,1,0,0,0,0.3,0.3,7,8,22,0,0,0,0,0,0,0.19,0.19,0,0.19,Matches,
131,Tim Ream,us USA,DF,Fulham,36-162,1987,17,16,"1,413",15.7,1,0,1,1,0,0,4,1,1,1,0,1,11,65,3,0.06,0,0.06,0.06,0.06,0.06,0,0.06,0.06,0.06,Matches,
132,David Raya,es ESP,GK,Arsenal,28-182,1995,22,22,"1,980",22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches,
133,Marcus Rashford,eng ENG,FW,Manchester Utd,26-136,1997,27,23,"1,988",22.1,7,2,9,5,2,2,2,0,7.1,5.5,2.2,7.7,86,58,161,0.32,0.09,0.41,0.23,0.32,0.32,0.1,0.42,0.25,0.35,Matches,
134,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,22-292,2001,16,8,853,9.5,1,1,2,1,0,0,2,0,2.2,2.2,1,3.2,33,28,69,0.11,0.11,0.21,0.11,0.21,0.23,0.11,0.34,0.23,0.34,Matches,
135,Aaron Ramsey,eng ENG,"MF,FW",Burnley,21-054,2003,14,5,527,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,8,17,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,Matches,
136,Aaron Ramsdale,eng ENG,GK,Arsenal,25-306,1998,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches,
137,Jesuran Rak Sakyi,eng ENG,"MF,FW",Crystal Palace,21-162,2002,6,0,136,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,7,2,18,0,0,0,0,0,0.28,0.1,0.38,0.28,0.38,Matches,
138,Ionu? Radu,ro ROU,GK,Bournemouth,26-292,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
139,Jarell Quansah,eng ENG,DF,Liverpool,21-046,2003,9,6,533,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,5,23,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,
140,Pedro Porro,es ESP,DF,Tottenham,24-184,1999,24,24,"2,156",24,0,7,7,0,0,0,3,0,2.2,2.2,6,8.2,35,121,106,0,0.29,0.29,0,0.29,0.09,0.25,0.34,0.09,0.34,Matches,
141,Nick Pope,eng ENG,GK,Newcastle Utd,31-331,1992,14,14,"1,255",13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
142,Ethan Pinnock,jm JAM,DF,Brentford,30-291,1993,23,23,"2,070",23,1,0,1,1,0,0,0,0,1.7,1.7,1,2.7,10,54,15,0.04,0,0.04,0.04,0.04,0.07,0.04,0.12,0.07,0.12,Matches,
143,Jordan Pickford,eng ENG,GK,Everton,30-008,1994,28,28,"2,520",28,0,0,0,0,0,0,4,0,0,0,0.1,0.1,1,5,0,0,0,0,0,0,0,0,0,0,0,Matches,
144,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,22-036,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,Matches,
145,Kalvin Phillips,eng ENG,MF,West Ham,28-104,1995,6,3,271,3,0,0,0,0,0,0,3,1,0.1,0.1,0,0.1,3,16,4,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,
146,Kalvin Phillips,eng ENG,MF,Manchester City,28-104,1995,4,0,93,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,7,7,3,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches,
147,?or?e Petrovi?,rs SRB,GK,Chelsea,24-159,1999,12,11,997,11.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
148,Ivan Periši?,hr CRO,FW,Tottenham,35-042,1989,5,0,103,1.1,0,1,1,0,0,0,2,0,0.1,0.1,0.9,1,15,9,17,0,0.87,0.87,0,0.87,0.1,0.75,0.85,0.1,0.85,Matches,
149,Andreas Pereira,br BRA,MF,Fulham,28-074,1996,28,25,"1,930",21.4,1,5,6,1,0,0,5,0,2,2,5.1,7.1,40,89,90,0.05,0.23,0.28,0.05,0.28,0.09,0.24,0.33,0.09,0.33,Matches,
150,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,22-086,2001,9,1,172,1.9,0,1,1,0,0,0,0,0,0.7,0.7,0.1,0.8,6,6,31,0,0.52,0.52,0,0.52,0.38,0.05,0.43,0.38,0.43,Matches,
151,Sydie Peck,eng ENG,MF,Sheffield Utd,19-184,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
152,Myles Peart-Harris,eng ENG,"DF,MF",Brentford,21-179,2002,3,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches,
153,Nathan Patterson,sct SCO,DF,Everton,22-151,2001,19,9,961,10.7,0,2,2,0,0,0,4,0,0.3,0.3,1.7,2,17,37,32,0,0.19,0.19,0,0.19,0.03,0.16,0.19,0.03,0.19,Matches,
154,Thomas Partey,gh GHA,"DF,MF",Arsenal,30-276,1993,6,3,278,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,12,34,5,0,0,0,0,0,0.02,0.03,0.06,0.02,0.06,Matches,
155,Ben Parkinson,eng ENG,FW,Newcastle Utd,19-005,2005,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
156,Lucas Paquetá,br BRA,"FW,MF",West Ham,26-201,1997,21,21,"1,756",19.5,3,5,8,2,1,1,7,0,3.9,3.1,3.7,6.8,25,129,84,0.15,0.26,0.41,0.1,0.36,0.2,0.19,0.39,0.16,0.35,Matches,
157,Emerson Palmieri,it ITA,DF,West Ham,29-225,1994,26,25,"2,271",25.2,1,2,3,1,0,0,7,0,1.1,1.1,2.2,3.3,43,89,88,0.04,0.08,0.12,0.04,0.12,0.04,0.09,0.13,0.04,0.13,Matches,
158,Cole Palmer,eng ENG,MF,Manchester City,21-314,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
159,Cole Palmer,eng ENG,"FW,MF",Chelsea,21-314,2002,23,19,"1,740",19.3,11,8,19,6,5,5,7,0,8.9,4.9,6.6,11.5,64,133,122,0.57,0.41,0.98,0.31,0.72,0.46,0.34,0.8,0.25,0.6,Matches,
160,João Palhinha,pt POR,MF,Fulham,28-250,1995,23,21,"1,870",20.8,3,1,4,3,0,0,11,0,2.1,2.1,0.3,2.4,7,61,9,0.14,0.05,0.19,0.14,0.19,0.1,0.02,0.12,0.1,0.12,Matches,
161,David Ozoh,eng ENG,MF,Crystal Palace,18-289,2005,8,0,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,Matches,
162,Dango Ouattara,bf BFA,"DF,FW",Bournemouth,22-033,2002,20,6,673,7.5,1,1,2,1,0,0,2,0,1.9,1.9,1,2.9,33,28,62,0.13,0.13,0.27,0.13,0.27,0.25,0.14,0.39,0.25,0.39,Matches,
163,William Osula,dk DEN,FW,Sheffield Utd,20-224,2003,18,9,730,8.1,0,0,0,0,0,0,4,0,1.6,1.6,0.1,1.7,6,2,37,0,0,0,0,0,0.2,0.01,0.2,0.2,0.2,Matches,
164,Gabriel Osho,ng NGA,DF,Luton Town,25-214,1998,16,16,"1,396",15.5,2,0,2,2,0,0,3,0,1,1,0.1,1.1,4,25,0,0.13,0,0.13,0.13,0.13,0.07,0,0.07,0.07,0.07,Matches,
165,Ben Osborn,eng ENG,"DF,MF",Sheffield Utd,29-223,1994,15,6,705,7.8,0,1,1,0,0,0,2,0,0.2,0.2,0.3,0.5,4,29,26,0,0.13,0.13,0,0.13,0.02,0.04,0.06,0.02,0.06,Matches,
166,Stefan Ortega,de GER,GK,Manchester City,31-130,1992,3,1,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
167,Divock Origi,be BEL,FW,Nott'ham Forest,28-332,1995,14,4,398,4.4,0,1,1,0,0,0,1,0,0.7,0.7,1.8,2.4,11,10,22,0,0.23,0.23,0,0.23,0.15,0.4,0.55,0.15,0.55,Matches,
168,Frank Onyeka,ng NGA,MF,Brentford,26-074,1998,21,10,"1,083",12,0,2,2,0,0,0,8,0,1.9,1.9,1.8,3.7,15,32,38,0,0.17,0.17,0,0.17,0.16,0.15,0.31,0.16,0.31,Matches,
169,Tyler Onyango,eng ENG,MF,Everton,21-011,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
170,Ryan One,sct SCO,FW,Sheffield Utd,17-263,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
171,André Onana,cm CMR,GK,Manchester Utd,27-348,1996,28,28,"2,520",28,0,0,0,0,0,0,4,0,0,0,0.1,0.1,1,5,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,
172,Amadou Onana,be BEL,MF,Everton,22-212,2001,22,18,"1,663",18.5,2,0,2,2,0,0,4,0,1.8,1.8,2.5,4.3,18,88,34,0.11,0,0.11,0.11,0.11,0.1,0.14,0.23,0.1,0.23,Matches,
173,Andrew Omobamidele,ie IRL,DF,Nott'ham Forest,21-266,2002,7,5,496,5.5,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,Matches,
174,Robin Olsen,se SWE,GK,Aston Villa,34-067,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
175,Michael Olise,fr FRA,"FW,MF",Crystal Palace,22-094,2001,11,8,755,8.4,6,3,9,5,1,1,0,0,3.2,2.4,3.3,5.7,35,38,82,0.72,0.36,1.07,0.6,0.95,0.38,0.4,0.77,0.28,0.68,Matches,
176,Michael Olakigbe,eng ENG,"DF,FW",Brentford,19-325,2004,8,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,10,4,17,0,0,0,0,0,0.18,0,0.18,0.18,0.18,Matches,
177,Angelo Ogbonna,it ITA,DF,West Ham,35-297,1988,7,3,321,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches,
178,Chiedozie Ogbene,ie IRL,"MF,DF",Luton Town,26-319,1997,27,18,"1,812",20.1,4,1,5,4,0,0,1,0,4.1,4.1,3,7.1,115,44,133,0.2,0.05,0.25,0.2,0.25,0.2,0.15,0.35,0.2,0.35,Matches,
179,Wilson Odobert,fr FRA,"MF,FW",Burnley,19-108,2004,19,15,"1,232",13.7,3,1,4,3,0,0,2,0,1.4,1.4,1.3,2.7,58,21,72,0.22,0.07,0.29,0.22,0.29,0.1,0.09,0.2,0.1,0.2,Matches,
180,Martin Ødegaard,no NOR,MF,Arsenal,25-089,1998,25,25,"2,208",24.5,6,6,12,4,2,2,2,0,5.6,4,6.2,10.1,66,241,145,0.24,0.24,0.49,0.16,0.41,0.23,0.25,0.48,0.16,0.41,Matches,
181,Michael Obafemi,ie IRL,"FW,MF",Burnley,23-253,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,3,0,0,0,0,0,0.4,0,0.4,0.4,0.4,Matches,
182,Dara O'Shea,ie IRL,DF,Burnley,25-011,1999,24,23,"2,106",23.4,1,3,4,1,0,0,5,0,0.5,0.5,1.5,2,23,96,7,0.04,0.13,0.17,0.04,0.17,0.02,0.06,0.08,0.02,0.08,Matches,
183,Ethan Nwaneri,eng ENG,FW,Arsenal,16-360,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches,
184,Darwin Núñez,uy URU,FW,Liverpool,24-265,1999,26,17,"1,571",17.5,10,7,17,10,0,1,8,0,13.5,12.7,5.3,18,46,45,159,0.57,0.4,0.97,0.57,0.97,0.77,0.3,1.08,0.73,1.03,Matches,
185,Matheus Nunes,pt POR,MF,Wolves,25-201,1998,2,2,179,2,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,7,8,9,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,Matches,
186,Matheus Nunes,pt POR,"MF,FW",Manchester City,25-201,1998,11,6,505,5.6,0,2,2,0,0,0,0,0,0.4,0.4,1,1.4,21,24,47,0,0.36,0.36,0,0.36,0.06,0.18,0.25,0.06,0.25,Matches,
187,Oliver Norwood,nir NIR,MF,Sheffield Utd,32-338,1991,24,16,"1,408",15.6,1,0,1,0,1,1,7,0,1.1,0.3,0.6,0.9,3,69,9,0.06,0,0.06,0,0,0.07,0.04,0.11,0.02,0.06,Matches,
188,Rhys Norrington-Davies,wls WAL,DF,Sheffield Utd,24-328,1999,5,2,110,1.2,0,0,0,0,0,0,1,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,
189,Christian Nørgaard,dk DEN,MF,Brentford,30-005,1994,26,26,"2,175",24.2,2,1,3,2,0,0,8,0,3.4,3.4,1.7,5.1,11,146,39,0.08,0.04,0.12,0.08,0.12,0.14,0.07,0.21,0.14,0.21,Matches,
190,Christopher Nkunku,fr FRA,"FW,MF",Chelsea,26-122,1997,7,2,319,3.5,2,0,2,2,0,0,0,0,1.7,1.7,0.1,1.9,7,9,28,0.56,0,0.56,0.56,0.56,0.49,0.04,0.53,0.49,0.53,Matches,
191,Eddie Nketiah,eng ENG,FW,Arsenal,24-290,1999,24,10,"1,052",11.7,5,2,7,5,0,0,3,0,4.4,4.4,0.8,5.2,21,19,73,0.43,0.17,0.6,0.43,0.6,0.38,0.07,0.45,0.38,0.45,Matches,
192,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,28-007,1996,16,12,"1,160",12.9,1,0,1,1,0,0,4,1,1.1,1.1,0.1,1.2,12,30,6,0.08,0,0.08,0.08,0.08,0.08,0.01,0.09,0.08,0.09,Matches,
193,Neto,br BRA,GK,Bournemouth,34-240,1989,26,26,"2,340",26,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
194,Pedro Neto,pt POR,"FW,MF",Wolves,24-006,2000,19,18,"1,503",16.7,2,9,11,2,0,0,4,0,3.4,3.4,4.4,7.9,97,54,148,0.12,0.54,0.66,0.12,0.66,0.21,0.27,0.47,0.21,0.47,Matches,
195,Zack Nelson,eng ENG,MF,Luton Town,19-173,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
196,Reiss Nelson,eng ENG,"FW,MF",Arsenal,24-096,1999,14,0,194,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,8,3,19,0,0,0,0,0,0.05,0.26,0.31,0.05,0.31,Matches,
197,Michael Ndiweni,eng ENG,FW,Newcastle Utd,20-104,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
198,Marvelous Nakamba,zw ZIM,MF,Luton Town,30-056,1994,13,13,"1,130",12.6,0,0,0,0,0,0,5,0,0.2,0.2,0.4,0.6,1,36,5,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05,Matches,
199,Vitaliy Mykolenko,ua UKR,DF,Everton,24-291,1999,23,23,"2,064",22.9,2,0,2,2,0,0,1,0,1.5,1.5,0.7,2.2,12,46,59,0.09,0,0.09,0.09,0.09,0.06,0.03,0.1,0.06,0.1,Matches,
200,Jacob Murphy,eng ENG,FW,Newcastle Utd,29-020,1995,11,4,476,5.3,2,3,5,2,0,0,1,0,0.9,0.9,2.1,3.1,18,23,39,0.38,0.57,0.95,0.38,0.95,0.18,0.4,0.58,0.18,0.58,Matches,
201,Alex Murphy,ie IRL,"FW,DF",Newcastle Utd,19-264,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
202,Murillo,br BRA,DF,Nott'ham Forest,21-255,2002,22,22,"1,906",21.2,0,1,1,0,0,0,3,0,1.1,1.1,1.2,2.2,18,71,7,0,0.05,0.05,0,0.05,0.05,0.05,0.1,0.05,0.1,Matches,
203,Daniel Muñoz,co COL,"DF,MF",Crystal Palace,27-294,1996,6,6,540,6,0,1,1,0,0,0,3,0,0.6,0.6,0.5,1.2,6,13,28,0,0.17,0.17,0,0.17,0.11,0.09,0.19,0.11,0.19,Matches,
204,Rodrigo Muniz,br BRA,FW,Fulham,22-316,2001,16,9,873,9.7,5,1,6,5,0,0,1,0,3.8,3.8,1.6,5.4,3,9,38,0.52,0.1,0.62,0.52,0.62,0.39,0.17,0.56,0.39,0.56,Matches,
205,Mykhailo Mudryk,ua UKR,"FW,MF",Chelsea,23-070,2001,21,9,911,10.1,4,2,6,4,0,0,3,0,2.8,2.8,1.8,4.6,58,27,92,0.4,0.2,0.59,0.4,0.59,0.28,0.18,0.46,0.28,0.46,Matches,
206,Divin Mubama,eng ENG,FW,West Ham,19-142,2004,5,0,80,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,5,0,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches,
207,Mason Mount,eng ENG,MF,Manchester Utd,25-065,1999,8,4,400,4.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,6,15,26,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,Matches,
208,Carlton Morris,eng ENG,"FW,MF",Luton Town,28-090,1995,28,22,"1,962",21.8,8,4,12,4,4,4,2,0,8.5,5.4,2.7,8.1,26,43,88,0.37,0.18,0.55,0.18,0.37,0.39,0.12,0.51,0.25,0.37,Matches,
209,Álex Moreno,es ESP,DF,Aston Villa,30-281,1993,15,9,874,9.7,2,0,2,2,0,0,2,0,1.1,1.1,1.1,2.2,28,18,72,0.21,0,0.21,0.21,0.21,0.11,0.12,0.23,0.11,0.23,Matches,
210,Kieffer Moore,wls WAL,"FW,MF",Bournemouth,31-220,1992,8,0,108,1.2,1,0,1,1,0,0,0,0,1.5,1.5,0.2,1.7,2,4,15,0.83,0,0.83,0.83,0.83,1.23,0.2,1.44,1.23,1.44,Matches,
211,Gonzalo Montiel,ar ARG,DF,Nott'ham Forest,27-074,1997,9,5,498,5.5,0,2,2,0,0,0,4,0,0.1,0.1,0.6,0.7,6,20,20,0,0.36,0.36,0,0.36,0.02,0.11,0.12,0.02,0.12,Matches,
212,Kudus Mohammed,gh GHA,"FW,MF",West Ham,23-226,2000,23,17,"1,590",17.7,6,3,9,6,0,0,5,0,3.3,3.3,2.1,5.4,75,60,142,0.34,0.17,0.51,0.34,0.51,0.19,0.12,0.3,0.19,0.3,Matches,
213,Jakub Moder,pl POL,"MF,DF",Brighton,24-343,1999,9,1,221,2.5,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,4,5,11,0,0,0,0,0,0.13,0.05,0.17,0.13,0.17,Matches,
214,Aleksandar Mitrovi?,rs SRB,FW,Fulham,29-181,1994,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,0,0.44,0,0.44,0.44,0.44,Matches,
215,Kaoru Mitoma,jp JPN,FW,Brighton,26-300,1997,19,15,"1,486",16.5,3,4,7,3,0,0,4,0,3.5,3.5,2.7,6.2,121,64,239,0.18,0.24,0.42,0.18,0.42,0.21,0.16,0.37,0.21,0.37,Matches,
216,Tyrick Mitchell,eng ENG,DF,Crystal Palace,24-196,1999,27,27,"2,347",26.1,1,2,3,1,0,0,5,0,0.7,0.7,1.6,2.4,15,70,104,0.04,0.08,0.12,0.04,0.12,0.03,0.06,0.09,0.03,0.09,Matches,
217,Tyrone Mings,eng ENG,DF,Aston Villa,31-002,1993,1,1,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09,Matches,
218,James Milner,eng ENG,"DF,MF",Brighton,38-071,1986,15,11,773,8.6,0,2,2,0,0,0,3,0,0.3,0.3,1.8,2,11,69,73,0,0.23,0.23,0,0.23,0.03,0.21,0.24,0.03,0.24,Matches,
219,Lewis Miley,eng ENG,MF,Newcastle Utd,17-319,2006,17,14,"1,202",13.4,1,3,4,1,0,0,1,0,1.2,1.2,1.7,2.9,14,53,54,0.07,0.22,0.3,0.07,0.3,0.09,0.13,0.22,0.09,0.22,Matches,
220,Chris Mepham,wls WAL,DF,Bournemouth,26-131,1997,9,5,527,5.9,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,4,25,0,0,0.17,0.17,0,0.17,0.02,0.07,0.08,0.02,0.08,Matches,
221,Teden Mengi,eng ENG,DF,Luton Town,21-320,2002,21,19,"1,733",19.3,1,0,1,1,0,0,2,0,0.4,0.4,0.2,0.6,6,38,1,0.05,0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,Matches,
222,Hannibal Mejbri,tn TUN,"MF,FW",Manchester Utd,21-054,2003,5,1,133,1.5,1,0,1,1,0,0,1,0,0,0,0.4,0.4,2,6,10,0.68,0,0.68,0.68,0.68,0.02,0.25,0.27,0.02,0.27,Matches,
223,Ben Mee,eng ENG,DF,Brentford,34-176,1989,16,15,"1,272",14.1,2,0,2,2,0,0,1,1,1.5,1.5,0.3,1.8,11,49,9,0.14,0,0.14,0.14,0.14,0.1,0.02,0.13,0.1,0.13,Matches,
224,Scott McTominay,sct SCO,"MF,FW",Manchester Utd,27-098,1996,25,14,"1,473",16.4,7,1,8,7,0,0,1,0,5.1,5.1,0.7,5.8,19,52,36,0.43,0.06,0.49,0.43,0.49,0.31,0.04,0.35,0.31,0.35,Matches,
225,Dwight McNeil,eng ENG,"MF,FW",Everton,24-114,1999,25,23,"2,014",22.4,2,5,7,2,0,0,1,0,2.8,2.8,7,9.8,63,84,96,0.09,0.22,0.31,0.09,0.31,0.13,0.31,0.44,0.13,0.44,Matches,
226,Scott McKenna,sct SCO,DF,Nott'ham Forest,27-124,1996,5,5,416,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,10,0,0,0,0,0,0,0.05,0.04,0.08,0.05,0.08,Matches,
