Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
26,James Ward-Prowse,eng ENG,MF,West Ham,29-135,1994,27,27,"2,332",25.9,5,7,12,3,2,2,4,0,5.1,3.5,5.6,9.1,17,103,57,0.19,0.27,0.46,0.12,0.39,0.2,0.22,0.41,0.14,0.35,Matches,
27,Joel Ward,eng ENG,DF,Crystal Palace,34-138,1989,20,20,"1,692",18.8,0,1,1,0,0,0,4,0,0.9,0.9,0.2,1.1,16,60,14,0,0.05,0.05,0,0.05,0.05,0.01,0.06,0.05,0.06,Matches,
28,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,26-110,1997,12,10,884,9.8,0,1,1,0,0,0,3,0,0.1,0.1,1.2,1.3,19,37,26,0,0.1,0.1,0,0.1,0.01,0.12,0.13,0.01,0.13,Matches,
29,Kyle Walker,eng ENG,DF,Manchester City,33-292,1990,26,25,"2,260",25.1,0,2,2,0,0,0,2,0,0.4,0.4,2.3,2.7,65,139,151,0,0.08,0.08,0,0.08,0.02,0.09,0.11,0.02,0.11,Matches,
30,Odisseas Vlachodimos,gr GRE,GK,Nott'ham Forest,29-324,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,
31,Vitinho,br BRA,"DF,MF",Burnley,24-236,1999,22,18,"1,604",17.8,0,0,0,0,0,0,1,0,1,1,0.2,1.3,45,55,74,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07,Matches,
32,Carlos Vinícius,br BRA,FW,Fulham,28-356,1995,13,2,315,3.5,2,0,2,2,0,0,2,0,1.6,1.6,0.8,2.4,3,3,13,0.57,0,0.57,0.57,0.57,0.46,0.23,0.69,0.46,0.69,Matches,
33,Fabio Vieira,pt POR,"MF,FW",Arsenal,23-290,2000,9,2,286,3.2,1,2,3,0,1,1,0,1,1.2,0.4,1.4,1.8,10,13,27,0.31,0.63,0.94,0,0.63,0.38,0.45,0.82,0.13,0.58,Matches,
34,Guglielmo Vicario,it ITA,GK,Tottenham,27-160,1996,27,27,"2,430",27,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,
35,Bart Verbruggen,nl NED,GK,Brighton,21-210,2002,13,13,"1,170",13,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches,
36,Micky van de Ven,nl NED,DF,Tottenham,22-331,2001,18,18,"1,529",17,1,0,1,1,0,0,1,0,0.3,0.3,0,0.4,11,69,2,0.06,0,0.06,0.06,0.06,0.02,0,0.02,0.02,0.02,Matches,
37,Joël Veltman,nl NED,DF,Brighton,32-060,1992,20,11,"1,132",12.6,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,20,71,39,0,0.08,0.08,0,0.08,0.01,0.03,0.04,0.01,0.04,Matches,
38,Alejo Véliz,ar ARG,FW,Tottenham,20-178,2003,8,0,50,0.6,1,0,1,1,0,0,1,0,0.2,0.2,0,0.2,0,1,3,1.8,0,1.8,1.8,1.8,0.45,0,0.45,0.45,0.45,Matches,
39,Raphaël Varane,fr FRA,DF,Manchester Utd,30-325,1993,19,14,"1,263",14,1,0,1,1,0,0,2,0,1.3,1.3,0.1,1.3,15,54,2,0.07,0,0.07,0.07,0.07,0.09,0,0.09,0.09,0.09,Matches,
40,Virgil van Dijk,nl NED,DF,Liverpool,32-251,1991,26,26,"2,277",25.3,2,2,4,2,0,0,1,1,2.1,2.1,1.5,3.6,22,132,6,0.08,0.08,0.16,0.08,0.16,0.08,0.06,0.14,0.08,0.14,Matches,
41,Enes Ünal,tr TUR,"MF,FW",Bournemouth,26-310,1997,6,0,102,1.1,1,1,2,1,0,0,0,0,1.1,1.1,0.2,1.3,1,3,15,0.88,0.88,1.76,0.88,1.76,0.99,0.18,1.17,0.99,1.17,Matches,
42,Lesley Ugochukwu,fr FRA,MF,Chelsea,19-355,2004,10,3,273,3,0,0,0,0,0,0,2,0,0,0,0,0,6,15,2,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,
43,Destiny Udogie,it ITA,DF,Tottenham,21-108,2002,23,23,"1,941",21.6,2,3,5,2,0,0,7,1,2.3,2.3,2,4.3,69,124,117,0.09,0.14,0.23,0.09,0.23,0.11,0.09,0.2,0.11,0.2,Matches,
44,Matt Turner,us USA,GK,Nott'ham Forest,29-265,1994,17,17,"1,530",17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
45,Kostas Tsimikas,gr GRE,DF,Liverpool,27-308,1996,12,8,672,7.5,0,3,3,0,0,0,0,0,0.1,0.1,1,1.1,23,31,69,0,0.4,0.4,0,0.4,0.01,0.14,0.15,0.01,0.15,Matches,
46,Auston Trusty,us USA,DF,Sheffield Utd,25-216,1998,22,19,"1,773",19.7,0,0,0,0,0,0,4,0,0.3,0.3,0.5,0.8,8,27,8,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches,
47,Leandro Trossard,be BEL,"FW,MF",Arsenal,29-102,1994,24,10,"1,020",11.3,7,1,8,7,0,0,0,0,5.3,5.3,1.9,7.2,35,53,93,0.62,0.09,0.71,0.62,0.71,0.46,0.17,0.63,0.46,0.63,Matches,
48,Kieran Trippier,eng ENG,DF,Newcastle Utd,33-178,1990,25,25,"2,163",24,1,10,11,1,0,0,5,0,0.7,0.7,7.4,8.1,34,151,123,0.04,0.42,0.46,0.04,0.46,0.03,0.31,0.34,0.03,0.34,Matches,
49,Mike Trésor,be BEL,"FW,MF",Burnley,24-292,1999,14,3,405,4.5,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,14,10,29,0,0,0,0,0,0.1,0.09,0.19,0.1,0.19,Matches,
50,Boubacar Traoré,ml MLI,"MF,FW",Wolves,22-208,2001,14,3,403,4.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,4,12,9,0,0,0,0,0,0.02,0.04,0.05,0.02,0.05,Matches,
51,Bertrand Traoré,bf BFA,"DF,FW",Aston Villa,28-191,1995,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
52,Adama Traoré,es ESP,"FW,MF",Fulham,28-050,1996,9,0,108,1.2,1,1,2,1,0,0,1,0,1.2,1.2,0.3,1.6,5,5,8,0.83,0.83,1.67,0.83,1.67,1.01,0.29,1.29,1.01,1.29,Matches,
53,James Trafford,eng ENG,GK,Burnley,21-157,2002,28,28,"2,520",28,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Matches,
54,Andros Townsend,eng ENG,"MF,FW",Luton Town,32-243,1991,19,10,844,9.4,1,3,4,1,0,0,1,0,1.1,1.1,1,2.2,34,25,48,0.11,0.32,0.43,0.11,0.43,0.12,0.11,0.23,0.12,0.23,Matches,
55,Pau Torres,es ESP,DF,Aston Villa,27-059,1997,21,19,"1,744",19.4,2,0,2,2,0,0,1,0,0.9,0.9,0.4,1.3,33,104,15,0.1,0,0.1,0.1,0.1,0.05,0.02,0.07,0.05,0.07,Matches,
56,Ivan Toney,eng ENG,FW,Brentford,27-365,1996,9,9,810,9,4,0,4,4,0,0,2,0,3.1,3.1,0.6,3.7,14,24,57,0.44,0,0.44,0.44,0.44,0.34,0.07,0.41,0.34,0.41,Matches,
57,Sandro Tonali,it ITA,MF,Newcastle Utd,23-312,2000,8,5,438,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,11,19,21,0.21,0,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26,Matches,
58,James Tomkins,eng ENG,DF,Crystal Palace,34-352,1989,3,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
59,Takehiro Tomiyasu,jp JPN,DF,Arsenal,25-131,1998,13,5,634,7,1,1,2,1,0,0,2,1,0.5,0.5,0.2,0.7,11,58,24,0.14,0.14,0.28,0.14,0.28,0.07,0.03,0.11,0.07,0.11,Matches,
60,Harry Toffolo,eng ENG,DF,Nott'ham Forest,28-209,1995,17,13,"1,237",13.7,1,3,4,1,0,0,2,0,1.6,1.6,1.5,3.2,7,31,33,0.07,0.22,0.29,0.07,0.29,0.12,0.11,0.23,0.12,0.23,Matches,
61,Jurriën Timber,nl NED,DF,Arsenal,22-272,2001,1,1,49,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,Matches,
